Tinh_Thanh,Ngay_Thang,Nhiet_Do,Do_Am,Gio_kph,Mua_mm,Chi_So_UV
Tan Uyen,2/18/2026 22:00,27.2,58,3.6,0,0
Tan Uyen,2/18/2026 23:00,26.9,57,9.4,0,0
Tan Uyen,2/19/2026 0:00,25.9,58,9.5,0,0
Tan Uyen,2/19/2026 1:00,24.9,61,9.9,0,0
Tan Uyen,2/19/2026 2:00,24.4,63,10.5,0,0
Tan Uyen,2/19/2026 3:00,23.9,65,8.7,0,0
Tan Uyen,2/19/2026 4:00,23.5,66,8.2,0,0
Tan Uyen,2/19/2026 5:00,23.1,68,8.2,0,0
Tan Uyen,2/19/2026 6:00,22.8,69,7.1,0,0
Tan Uyen,2/19/2026 7:00,23.6,66,8.2,0,0.2
Tan Uyen,2/19/2026 8:00,25.9,58,9.1,0,1.5
Tan Uyen,2/19/2026 9:00,28.2,51,8.4,0,3.6
Tan Uyen,2/19/2026 10:00,30.7,44,6,0,5.75
Tan Uyen,2/19/2026 11:00,32.7,40,6.5,0,7.5
Tan Uyen,2/19/2026 12:00,34,37,7.9,0,8.45
Tan Uyen,2/19/2026 13:00,34.7,35,9.2,0,7.85
Tan Uyen,2/19/2026 14:00,35,33,9.4,0,6.8
Tan Uyen,2/19/2026 15:00,35.4,32,11.4,0,5.6
Tan Uyen,2/19/2026 16:00,35.4,32,12.2,0,3.9
Tan Uyen,2/19/2026 17:00,34.8,33,12.6,0,1.95
Tan Uyen,2/19/2026 18:00,32.5,38,13.7,0,0.4
Tan Uyen,2/19/2026 19:00,30,44,23.5,0,0
Tan Uyen,2/19/2026 20:00,28.1,73,11.5,0,0
Tan Uyen,2/19/2026 21:00,27.2,76,7.8,0,0
Tan Uyen,2/19/2026 22:00,26.7,78,4.1,0,0
Tan Uyen,2/19/2026 23:00,26.4,80,1.9,0,0
Tan Uyen,2/20/2026 0:00,26.2,81,0.8,0,0
Tan Uyen,2/20/2026 1:00,25.5,86,3.5,0,0
Tan Uyen,2/20/2026 2:00,25.1,81,5.2,0,0
Tan Uyen,2/20/2026 3:00,24.5,71,6.5,0,0
Tan Uyen,2/20/2026 4:00,23.8,70,5.8,0,0
Tan Uyen,2/20/2026 5:00,23.2,70,5.1,0,0
Tan Uyen,2/20/2026 6:00,22.8,71,4.3,0,0
Tan Uyen,2/20/2026 7:00,22.8,76,3.6,0,0.2
Tan Uyen,2/20/2026 8:00,24.8,69,5.2,0,1.4
Tan Uyen,2/20/2026 9:00,27,62,4.8,0,3.3
